province,province_code,province_type
山西,140000000000,shanxi
山东,370000000000,shandong
蒙西,150000000000,mengxi
蒙东,150000000001,mengdong
湖北,420000000000,hubei
新疆,650000000000,xinjiang
安徽,340000000000,anhui
辽宁,210000000000,liaoning
江苏,320000000000,jiangsu
浙江,330000000000,zhejiang
河北南网,130000000001,hebei
陕西,610000000000,shaanxi
广东,440000000000,guangdong
广西,450000000000,guangxi
云南,530000000000,yunnan
贵州,520000000000,guizhou
海南,460000000000,hainan
吉林,220000000000,jilin
黑龙江,230000000000,heilongjiang
福建,350000000000,fujian
湖南,430000000000,hunan
四川,510000000000,sichuan
宁夏,640000000000,ningxia
甘肃,620000000000,gansu
江西,360000000000,jiangxi
河南,410000000000,henan
青海,630000000000,qinghai
上海,310000000000,shanghai
重庆,500000000000,chongqing
